:START_ID,:END_ID,:TYPE
6,88,HOMEWORLD
7,88,HOMEWORLD
8,95,HOMEWORLD
9,88,HOMEWORLD
10,89,HOMEWORLD
11,88,HOMEWORLD
12,88,HOMEWORLD
13,88,HOMEWORLD
14,88,HOMEWORLD
15,107,HOMEWORLD
16,88,HOMEWORLD
17,108,HOMEWORLD
18,101,HOMEWORLD
19,109,HOMEWORLD
20,110,HOMEWORLD
21,111,HOMEWORLD
22,109,HOMEWORLD
23,113,HOMEWORLD
24,115,HOMEWORLD
25,95,HOMEWORLD
26,97,HOMEWORLD
27,115,HOMEWORLD
28,116,HOMEWORLD
29,117,HOMEWORLD
30,93,HOMEWORLD
31,118,HOMEWORLD
32,119,HOMEWORLD
33,115,HOMEWORLD
34,94,HOMEWORLD
35,120,HOMEWORLD
36,115,HOMEWORLD
37,105,HOMEWORLD
38,96,HOMEWORLD
39,95,HOMEWORLD
40,95,HOMEWORLD
41,95,HOMEWORLD
42,95,HOMEWORLD
43,95,HOMEWORLD
44,121,HOMEWORLD
45,122,HOMEWORLD
46,95,HOMEWORLD
47,88,HOMEWORLD
48,123,HOMEWORLD
49,124,HOMEWORLD
50,124,HOMEWORLD
51,125,HOMEWORLD
52,126,HOMEWORLD
53,127,HOMEWORLD
54,128,HOMEWORLD
55,129,HOMEWORLD
56,130,HOMEWORLD
57,131,HOMEWORLD
58,132,HOMEWORLD
59,96,HOMEWORLD
60,134,HOMEWORLD
61,135,HOMEWORLD
62,136,HOMEWORLD
63,137,HOMEWORLD
64,95,HOMEWORLD
65,95,HOMEWORLD
66,88,HOMEWORLD
67,98,HOMEWORLD
68,138,HOMEWORLD
69,138,HOMEWORLD
70,95,HOMEWORLD
71,139,HOMEWORLD
72,89,HOMEWORLD
73,140,HOMEWORLD
74,141,HOMEWORLD
75,142,HOMEWORLD
76,97,HOMEWORLD
77,97,HOMEWORLD
78,96,HOMEWORLD
79,115,HOMEWORLD
80,143,HOMEWORLD
81,144,HOMEWORLD
82,145,HOMEWORLD
83,146,HOMEWORLD
84,101,HOMEWORLD
85,89,HOMEWORLD
86,147,HOMEWORLD
87,99,HOMEWORLD
148,96,HOMEWORLD
150,101,HOMEWORLD
151,110,HOMEWORLD
152,111,HOMEWORLD
153,115,HOMEWORLD
154,116,HOMEWORLD
155,118,HOMEWORLD
156,94,HOMEWORLD
157,120,HOMEWORLD
158,105,HOMEWORLD
159,95,HOMEWORLD
160,121,HOMEWORLD
161,122,HOMEWORLD
162,124,HOMEWORLD
163,125,HOMEWORLD
164,126,HOMEWORLD
165,127,HOMEWORLD
166,128,HOMEWORLD
167,130,HOMEWORLD
168,131,HOMEWORLD
169,132,HOMEWORLD
170,133,HOMEWORLD
171,134,HOMEWORLD
172,135,HOMEWORLD
173,136,HOMEWORLD
174,137,HOMEWORLD
175,98,HOMEWORLD
176,138,HOMEWORLD
177,141,HOMEWORLD
178,142,HOMEWORLD
179,97,HOMEWORLD
180,143,HOMEWORLD
181,144,HOMEWORLD
182,145,HOMEWORLD
183,146,HOMEWORLD
184,99,HOMEWORLD
