:START_ID,:END_ID,:TYPE
7,149,OF
8,149,OF
13,149,OF
18,150,OF
20,151,OF
21,152,OF
24,153,OF
27,149,OF
28,154,OF
31,155,OF
34,156,OF
35,157,OF
37,158,OF
40,159,OF
41,159,OF
42,159,OF
44,160,OF
45,161,OF
48,169,OF
49,162,OF
50,162,OF
51,163,OF
52,164,OF
53,165,OF
54,166,OF
56,167,OF
57,168,OF
58,169,OF
59,170,OF
60,171,OF
61,172,OF
62,173,OF
63,174,OF
67,175,OF
68,176,OF
69,176,OF
70,148,OF
71,148,OF
72,148,OF
74,177,OF
75,178,OF
76,179,OF
77,179,OF
78,148,OF
80,180,OF
81,181,OF
82,182,OF
83,183,OF
84,150,OF
87,184,OF
6,148,OF
9,148,OF
10,148,OF
11,148,OF
12,148,OF
14,148,OF
15,148,OF
16,148,OF
17,148,OF
19,148,OF
22,148,OF
23,148,OF
25,148,OF
26,148,OF
29,148,OF
30,148,OF
32,148,OF
33,148,OF
36,148,OF
38,148,OF
47,148,OF
55,148,OF
64,148,OF
65,148,OF
66,148,OF
73,148,OF
85,148,OF
39,148,OF
